ServerSubCategory,FriendlyName,modernisation_candidate,modernisation_treatment,default_flag,modernisation_strategy,modernisation_complexity,applicable_treatment,complexity_score,migration_goal_category,combo_flag,light_modernisation_id,modernisation_focused_id,key_benefits,modernisation_candidate_description,modernisation_candidate_logo
Microsoft .NET Framework,.NET Framework 3.5,Azure App Service,.NET Framework 3.5-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 3.5,Azure Kubernetes Service,.NET Framework 3.5-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 3.5,Azure Container Instances,.NET Framework 3.5-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 3.5,Eliminate,Eliminate .NET Framework 3.5,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 3.5,IaaS,.NET Framework 3.5-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 3.5,Azure Container Apps,.NET Framework 3.5-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4,Azure App Service,.NET Framework 4-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4,Azure Kubernetes Service,.NET Framework 4-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4,Azure Container Instances,.NET Framework 4-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4,Eliminate,Eliminate .NET Framework 4,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4,IaaS,.NET Framework 4-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4,Azure Container Apps,.NET Framework 4-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.5,Azure App Service,.NET Framework 4.5-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.5,Azure Kubernetes Service,.NET Framework 4.5-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.5,Azure Container Instances,.NET Framework 4.5-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.5,Eliminate,Eliminate .NET Framework 4.5,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4.5,IaaS,.NET Framework 4.5-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4.5,Azure Container Apps,.NET Framework 4.5-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.6,Azure App Service,.NET Framework 4.6-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.6,Azure Kubernetes Service,.NET Framework 4.6-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.6,Azure Container Instances,.NET Framework 4.6-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.6,Eliminate,Eliminate .NET Framework 4.6,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4.6,IaaS,.NET Framework 4.6-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4.6,Azure Container Apps,.NET Framework 4.6-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.7,.NET Framework 4.7,Azure App Service,.NET Framework 4.7-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.7,.NET Framework 4.7,Azure Kubernetes Service,.NET Framework 4.7-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.7,.NET Framework 4.7,Azure Container Instances,.NET Framework 4.7-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.7,.NET Framework 4.7,Eliminate,Eliminate .NET Framework 4.7,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework 4.7,.NET Framework 4.7,IaaS,.NET Framework 4.7-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework 4.7,.NET Framework 4.7,Azure Container Apps,.NET Framework 4.7-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.8,.NET Framework 4.8,Azure App Service,.NET Framework 4.8-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.8,.NET Framework 4.8,Azure Kubernetes Service,.NET Framework 4.8-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.8,.NET Framework 4.8,Azure Container Instances,.NET Framework 4.8-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.8,.NET Framework 4.8,Eliminate,Eliminate .NET Framework 4.8,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework 4.8,.NET Framework 4.8,IaaS,.NET Framework 4.8-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework 4.8,.NET Framework 4.8,Azure Container Apps,.NET Framework 4.8-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
0Patch,0Patch,Azure Security Center,0Patch-to-Azure Security Center,1,PaaS,Medium,Replace,3,security_importance,1,300,301,Patch management and automation for ensuring cloud workloads remain secure.,"Legacy name for Microsoft Defender for Cloud, providing unified security posture management and threat protection.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
0Patch,0Patch,Azure Automation,0Patch-to-Azure Automation,0,PaaS,Medium,Replace,3,,1,,,Patch management and automation for ensuring cloud workloads remain secure.,"Process automation and configuration management service for orchestrating tasks, updates and state management.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
0Patch,0Patch,Azure Update Management,0Patch-to-Azure Update Management,0,PaaS,Medium,Replace,3,,0,,,Cloud-based software distribution and patch management for endpoints.,"Service to assess, schedule and manage Windows and Linux updates across Azure and on‑premises servers.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
1E Client,1E Client,Microsoft Intune,1E Client-to-Microsoft Intune,1,PaaS,Medium,Replace,3,it_tool_interest,1,288,289,Cloud-based IT and endpoint management with automation and device tracking.,"Cloud-based endpoint management solution for managing mobile devices, apps and OS updates.",
1E Client,1E Client,Azure Automation,1E Client-to-Azure Automation,0,PaaS,Medium,Replace,3,,1,,,Cloud-based IT and endpoint management with automation and device tracking.,"Process automation and configuration management service for orchestrating tasks, updates and state management.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
1E NightWatchman,1E NightWatchman,Azure Automation,1E NightWatchman-to-Azure Automation,1,PaaS,Medium,Replace,3,it_tool_interest,1,288,289,Automated power management and remote configuration for devices.,"Process automation and configuration management service for orchestrating tasks, updates and state management.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
1E NightWatchman,1E NightWatchman,Microsoft Intune,1E NightWatchman-to-Microsoft Intune,0,PaaS,Medium,Replace,3,,1,,,Automated power management and remote configuration for devices.,"Cloud-based endpoint management solution for managing mobile devices, apps and OS updates.",
1E Nomad,1E Nomad,Microsoft Intune,1E Nomad-to-Microsoft Intune,1,PaaS,Medium,Replace,3,it_tool_interest,1,288,289,Cloud-based software distribution and patch management for endpoints.,"Cloud-based endpoint management solution for managing mobile devices, apps and OS updates.",
1E Nomad,1E Nomad,Azure Update Management,1E Nomad-to-Azure Update Management,0,PaaS,Medium,Replace,3,,1,,,Cloud-based software distribution and patch management for endpoints.,"Service to assess, schedule and manage Windows and Linux updates across Azure and on‑premises servers.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
1E WakeUp,1E WakeUp,IaaS,1E WakeUp-to-Azure Automation,1,PaaS,Medium,Replace,3,,0,,,Automated remote management for starting or stopping devices using cloud automation.,,
3manager SNMP,3manager SNMP,Azure Monitor,3manager SNMP-to-Azure Monitor,1,PaaS,Medium,Replace,3,it_tool_interest,0,288,289,Built-in SNMP support for monitoring devices across networks.,Comprehensive monitoring platform for collecting and analyzing telemetry from cloud and on‑premises resources.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
ABBYY FlexiCapture,ABBYY FlexiCapture,Azure Cognitive Services,ABBYY FlexiCapture-to-Azure Cognitive Services,1,PaaS,Medium,Replace,3,it_tool_interest,1,288,289,"AI-based document scanning, recognition, and workflow automation.","Suite of AI services and APIs enabling vision, speech, language and decision capabilities.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
ABBYY FlexiCapture,ABBYY FlexiCapture,Power Automate,ABBYY FlexiCapture-to-Power Automate,0,PaaS,Medium,Replace,3,,1,,,"AI-based document scanning, recognition, and workflow automation.",Workflow automation service for connecting apps and automating processes across services.,
Microsoft Access Database,Access,Power Apps,Access-to-Power Apps,1,PaaS,Medium,Replatform/Refactor,3,database_interest,0,292,293,Low-code app development platform with Salesforce integration support.,Low‑code application development platform for building custom business apps.,
Microsoft Access Database,Access,Dataverse,Access-to-Dataverse,0,PaaS,Easy,Replatform/Refactor,2,,0,,,Suitable for low-code apps with relational data needs; integrates with Power Platform and Office 365.,Data platform for storing and managing structured business data used by Power Apps and Dynamics 365.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft Access Database,Access,Azure SQL,Access-to-Azure SQL,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Azure SQL PaaS - Fully managed SQL service with built-in scalability and high availability.,Family of managed SQL services including Azure SQL Database and SQL Managed Instance.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft Access Database,Access,SQL Managed Instance,Access-to-SQL Managed Instance,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Managed SQL Server service offering almost complete compatibility with on-premise SQL Server features.,"Fully managed, scalable instance of SQL Server in the cloud with near 100% compatibility.",
Microsoft Access Database,Access,Eliminate,Eliminate Access,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft Access Database,Access,IaaS,Access-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Backup & Recovery,Acronis Cyber Protect,Azure Backup,Acronis Cyber Protect-to-Azure Backup,1,PaaS,Easy,Replace,2,security_importance,1,300,301,Comprehensive data protection and backup services with security insights.,"Backup‑as‑a‑service offering for protecting data in Azure VMs, on‑premises servers and Azure file shares.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Backup & Recovery,Acronis Cyber Protect,Azure Security Center,Acronis Cyber Protect-to-Azure Security Center,0,PaaS,Easy,Replace,2,,1,,,Comprehensive data protection and backup services with security insights.,"Legacy name for Microsoft Defender for Cloud, providing unified security posture management and threat protection.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Backup & Recovery,Acronis Cyber Protect,Azure Site Recovery,Acronis Cyber Protect-to-Azure Site Recovery,0,PaaS,Medium,Replace,3,,0,,,Cloud-based backup and disaster recovery with centralized management.,Business continuity and disaster recovery service for replicating and restoring workloads to Azure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Backup & Recovery,Acronis Cyber Protect,Microsoft Defender for Cloud,Acronis Cyber Protect-to-Microsoft Defender for Cloud,0,PaaS,Medium,Replace,3,,0,,,Managed firewall and threat detection for network security and traffic monitoring.,Unified posture management and workload protection platform across Azure and other clouds.,https://drmigrate.blob.core.windows.net/drmimages/Microsoft-defender.png
Active Batch,Active Batch,Azure Logic Apps,Active Batch-to-Azure Logic Apps,1,PaaS,Medium,Replace,4,,1,,,Automated task and workflow management with Azure-native tools.,Cloud service for building automated workflows and integrations using connectors without writing code.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Active Batch,Active Batch,Azure Automation,Active Batch-to-Azure Automation,0,PaaS,Hard,Replace,4,,1,,,Automated task and workflow management with Azure-native tools.,"Process automation and configuration management service for orchestrating tasks, updates and state management.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Active Directory,Active Directory,Azure Active Directory,Active Directory-to-Azure Active Directory,1,PaaS,Medium,Replace,1,it_tool_interest,0,288,289,Cloud-based directory services with user and group management.,"Cloud identity and access management service (now Microsoft Entra ID) for users, apps and resources.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Active Directory Certificate Services,Active Directory Certificate Services,Microsoft Cloud PKI,Active Directory Certificate Services-to-Microsoft Cloud PKI,0,PaaS,Medium,Replace,3,,1,,,Cloud-based service that simplifies and automates certificate lifecycle management for Intune-managed devices.,Managed public key infrastructure service for issuing and managing digital certificates for devices and users.,
Active Directory Certificate Services,Active Directory Certificate Services,Microsoft Entra ID Certificate Services,Active Directory Certificate Services-to-Microsoft Entra ID Certificate Services,1,PaaS,Medium,Replace,3,security_importance,1,300,301,"Centralized certificate management, secure key storage, and certificate issuance.",Certificate-based authentication for managed identities in Microsoft Entra ID.,https://drmigrate.blob.core.windows.net/drmimages/Microsoft_Entra_ID.png
Active Roles,Active Roles,Microsoft Entra ID,Active Roles-to-Microsoft Entra ID,1,PaaS,Medium,Replace,3,security_importance,1,300,301,Managed directory services with role-based access control and identity governance.,"Cloud identity and access management service for users, apps and devices (formerly Azure AD).",https://drmigrate.blob.core.windows.net/drmimages/Microsoft_Entra_ID.png
Active Roles,Active Roles,Azure Identity Governance,Active Roles-to-Azure Identity Governance,0,PaaS,Medium,Replace,3,,1,,,Managed directory services with role-based access control and identity governance.,Manage identity lifecycle and access rights in Microsoft Entra ID with policies and workflows.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
